x,y,z
0.20081,0.058716,1.0283
-0.001709,0.18457,0.95044
-0.22961,0.11536,0.91577
-0.14075,-0.13147,0.99146
0.17554,-0.24524,1.0739
0.17334,0.083008,1.0134
-0.04126,0.20068,0.95154
-0.23743,0.093262,0.8988
-0.10913,-0.17578,1.0103
0.20947,-0.20105,1.0646
0.15588,0.1012,1.0121
-0.055054,0.18896,0.92578
-0.25049,0.058472,0.92236
-0.087158,-0.2146,1.0017
0.23706,-0.16736,1.0846
0.1239,0.11084,1.0018
-0.097168,0.21082,0.92493
-0.24084,0.034424,0.91565
-0.049683,-0.26453,1.0343
0.24939,-0.13403,1.0684
0.10242,0.12549,0.98718
-0.13452,0.20007,0.9314
-0.23572,0.001709,0.91736
-0.018555,-0.28833,1.0417
0.23267,-0.074463,1.0547
0.086792,0.1554,0.98267
-0.15405,0.19519,0.91113
-0.22327,-0.021729,0.95032
0.020508,-0.29431,1.028
0.23889,-0.032715,1.0631
0.052368,0.15393,0.9679
-0.20471,0.19934,0.92224
-0.20544,-0.028198,0.93213
0.071167,-0.28296,1.067
0.23328,0.00048828,1.0416
0.027344,0.16541,0.95349
-0.21155,0.16858,0.92456
-0.17346,-0.075562,0.95898
0.10901,-0.28101,1.0693
0.20178,0.040161,1.0255
0.011353,0.18005,0.95117
-0.23035,0.14062,0.91638
-0.15076,-0.10913,0.98242
0.16443,-0.25134,1.0663
0.18176,0.07019,1.0281
-0.023193,0.1969,0.94177
-0.24036,0.11255,0.91125
-0.12012,-0.15771,1.0042
0.20459,-0.21155,1.0629
0.15833,0.092285,1.0233
-0.043701,0.18738,0.92517
-0.25427,0.067017,0.91833
-0.098999,-0.20215,1.0026
0.22888,-0.17883,1.0715
0.13867,0.11084,1.0031
-0.089233,0.20166,0.93298
-0.24634,0.045654,0.90881
-0.063843,-0.24475,1.0314
0.25195,-0.14038,1.0615
0.11572,0.13037,1.0013
-0.1156,0.19312,0.91956
-0.23926,0.014771,0.93079
-0.037354,-0.28259,1.0336
0.23499,-0.092041,1.0565
0.094482,0.14502,0.99023
-0.14319,0.20349,0.90955
-0.2312,-0.01062,0.94666
0.001709,-0.29211,1.0234
0.24219,-0.059204,1.0702
0.06543,0.14929,0.96619
-0.1925,0.19751,0.92529
-0.21606,-0.017822,0.93079
0.049927,-0.29077,1.0604
0.23157,-0.01123,1.0332
0.04248,0.16821,0.97632
-0.20398,0.17456,0.90662
-0.18103,-0.063843,0.96082
0.098511,-0.28442,1.0585
0.21008,0.031982,1.0385
0.018921,0.17712,0.95361
-0.21606,0.14221,0.90881
-0.15759,-0.10095,0.98486
0.14417,-0.26575,1.061
0.18018,0.059692,1.026
-0.0072021,0.1875,0.94995
-0.2384,0.11694,0.91211
-0.13062,-0.13257,0.9928
0.18884,-0.23413,1.0665
0.17236,0.085693,1.0176
-0.036133,0.20056,0.94067
-0.24365,0.091309,0.91028
-0.10474,-0.1792,1.0131
0.22437,-0.19812,1.0585
0.14661,0.10913,1.0144
-0.06311,0.18884,0.92542
-0.24451,0.053589,0.92456
-0.081909,-0.22705,1.0188
0.2301,-0.15466,1.0653
0.12622,0.11841,0.99768
-0.090332,0.19263,0.91675
-0.2417,0.018311,0.93457
-0.049072,-0.25989,1.0247
0.23438,-0.11426,1.0627
0.099365,0.14038,0.99707
-0.13098,0.19922,0.90405
-0.23438,0.0050049,0.94653
-0.0090332,-0.29065,1.036
0.23523,-0.070312,1.0646
0.076782,0.15417,0.97986
-0.16504,0.20349,0.90356
-0.21667,-0.026123,0.95422
0.033081,-0.30273,1.0349
0.224,-0.026855,1.0586
0.048828,0.16772,0.96741
-0.19141,0.18274,0.89685
-0.19226,-0.057251,0.97168
0.076904,-0.29736,1.0481
0.20947,0.010986,1.0394
0.031128,0.17383,0.96375
-0.21716,0.16187,0.91138
-0.16785,-0.080566,0.96802
0.12598,-0.2749,1.0619
0.19519,0.046875,1.0356
0.0015869,0.18616,0.9469
-0.22107,0.13159,0.90601
-0.14014,-0.12671,0.99622
0.16968,-0.25391,1.0593
0.17175,0.07373,1.024
-0.025757,0.18542,0.94373
-0.24255,0.095825,0.90576
-0.1189,-0.16187,0.99976
0.20276,-0.20215,1.0618
0.15503,0.094238,1.0167
-0.047119,0.18909,0.92432
-0.25012,0.063232,0.93115
-0.090088,-0.20593,1.0012
0.23145,-0.17737,1.076
0.13049,0.11694,0.99707
-0.10156,0.21533,0.93274
-0.23364,0.041504,0.90698
-0.044678,-0.25635,1.0393
0.24927,-0.13318,1.0598
0.10352,0.13745,0.9906
-0.1239,0.20654,0.91956
-0.23621,0.0063477,0.93286
-0.026733,-0.28027,1.0304
0.24524,-0.084106,1.0623
0.084351,0.14563,0.98291
-0.16235,0.20386,0.91455
-0.22791,-0.00354,0.93579
0.015869,-0.2876,1.0525
0.24243,-0.038208,1.0499
0.057983,0.16333,0.9696
-0.18201,0.19226,0.91174
-0.20312,-0.043579,0.95337
0.06311,-0.30115,1.057
0.20935,-0.003418,1.0487
0.040527,0.17346,0.95911
-0.21326,0.16675,0.90283
-0.17981,-0.071167,0.97485
0.11121,-0.27612,1.0525
0.21082,0.036621,1.0369
0.012085,0.16956,0.95081
-0.229,0.1377,0.91833
-0.15918,-0.10095,0.97021
0.14526,-0.24902,1.0737
0.18799,0.070679,1.0188
-0.021484,0.19226,0.95471
-0.2323,0.10815,0.90857
-0.12537,-0.14282,0.99109
0.19934,-0.22607,1.0702
0.16431,0.094238,1.0176
-0.043457,0.18762,0.93457
-0.245,0.074097,0.91541
-0.10266,-0.19397,1.0012
0.22571,-0.18701,1.0673
0.14185,0.10901,1.0099
-0.083252,0.203,0.92969
-0.24475,0.053467,0.91199
-0.063721,-0.24463,1.0282
0.24939,-0.14868,1.0654
0.11792,0.12317,0.99695
-0.12073,0.20007,0.93298
-0.24084,0.017944,0.91736
-0.038086,-0.27051,1.0347
0.23755,-0.093994,1.0593
0.10144,0.14441,0.98523
-0.1427,0.20093,0.91516
-0.23279,-0.0090332,0.9436
-0.00036621,-0.29382,1.0316
0.23645,-0.055298,1.0591
0.073853,0.15149,0.97241
-0.172,0.18677,0.90527
-0.21436,-0.033569,0.9613
0.045166,-0.2998,1.0472
0.21704,-0.010864,1.0466
0.049683,0.16919,0.9718
-0.20593,0.17542,0.90295
-0.18872,-0.05957,0.97571
0.094849,-0.27979,1.0498
0.21375,0.027466,1.0482
0.020874,0.18262,0.95227
-0.21472,0.15247,0.89929
-0.16162,-0.096924,0.98547
0.14062,-0.27136,1.062
0.1897,0.056274,1.0286
-0.0098877,0.19019,0.96021
-0.23853,0.12268,0.89856
-0.13525,-0.12915,0.99707
0.18127,-0.22974,1.0621
