x,y,z
-0.015015,-0.0018311,0.99268
-0.012939,-0.0028076,0.99365
-0.0053711,-0.0050049,0.9928
-0.00036621,0.0032959,0.99402
-0.0063477,0.0020752,0.99402
-0.014648,-0.0025635,0.99695
-0.0095215,-0.0046387,0.9928
-0.0010986,0.0014648,0.99597
0.00048828,-0.00061035,0.99207
-0.0078125,0.0021973,0.99133
-0.014771,-0.0015869,0.99524
-0.010132,-0.00354,0.9989
-0.0010986,0.00036621,0.9917
-0.0012207,-0.00085449,0.99451
-0.010986,-0.00085449,0.99536
-0.014893,-0.0014648,0.99292
-0.01123,0.00048828,0.99597
-0.0020752,-0.0024414,0.99402
-0.0023193,0.0014648,0.99475
-0.010132,-0.0010986,0.99548
-0.014404,-0.0010986,0.99316
-0.0050049,-0.0031738,0.9895
-0.00085449,-0.00061035,0.99695
-0.0029297,0.001709,0.99377
-0.011719,0.00061035,0.99841
-0.013428,-0.0045166,0.99646
-0.0043945,-0.0048828,0.99255
0.00085449,0.00354,0.99072
-0.0014648,0.00073242,0.995
-0.014526,-0.00085449,0.9928
-0.011963,-0.0042725,0.99817
-0.0050049,0.00048828,0.99414
-0.00012207,-0.00036621,0.99097
-0.0064697,0.0029297,0.99341
-0.013794,-0.0041504,0.99365
-0.013428,0.00024414,0.9939
-0.0048828,-0.001709,0.99255
0.00048828,0.00012207,0.99597
-0.0061035,-0.0014648,0.99194
-0.011719,0.0014648,0.99438
-0.0092773,-0.00061035,0.99182
-0.0023193,-0.0020752,0.99084
-0.00061035,-0.0015869,0.99438
-0.0072021,0.0010986,0.99744
-0.014282,-0.0010986,0.99329
-0.0093994,-0.0029297,0.99744
-0.0021973,0.00024414,0.99182
-0.00097656,0.00024414,0.99219
-0.01001,0.0014648,0.99512
-0.015259,-0.0050049,0.9967
-0.0074463,-0.0031738,0.99353
0,0.00085449,0.99365
-0.0018311,0.005249,0.99292
-0.0098877,-0.0032959,0.99023
-0.014893,-0.0032959,0.9967
-0.0083008,-0.0026855,0.99243
-0.00048828,0.00012207,0.99573
-0.0010986,0.0023193,0.99561
-0.01062,-0.0015869,0.99243
-0.012817,-0.0018311,0.99207
-0.0058594,-0.0012207,0.99353
-0.0013428,0.00024414,0.99109
-0.0032959,-0.0013428,0.99475
-0.013916,0.0050049,0.99792
-0.013672,-0.0023193,0.99377
-0.006958,-0.0020752,0.99451
-0.00073242,-0.0028076,0.99036
-0.0042725,0.0014648,0.99365
-0.014038,-0.0018311,0.9939
-0.012817,-0.0030518,0.99609
-0.00354,-0.003418,0.9906
0.001709,0.0021973,0.99475
-0.0057373,0.0014648,0.99316
-0.012695,-0.0026855,0.99536
-0.01001,-0.0040283,0.99329
-0.00354,0,0.99744
-0.00024414,0.0026855,0.99255
-0.0075684,-0.00097656,0.99646
-0.014404,-0.0031738,0.99243
-0.011597,-0.0036621,0.99353
-0.0029297,0.00036621,0.99536
-0.0018311,-0.00073242,0.99219
-0.008667,0.0014648,0.99451
-0.016479,-0.0014648,0.99597
-0.0083008,-0.0019531,0.99438
-0.00036621,-0.0029297,0.98987
-0.001709,-0.00012207,0.99438
-0.01123,0.0029297,0.99158
-0.014648,0.00061035,0.9978
