x,y,z
-0.097778,-0.053589,0.96521
0.062866,-0.098633,1.0149
0.12024,0.0026855,1.0273
-0.0081787,0.080322,0.97498
-0.13782,0.058228,0.95154
-0.080566,-0.067627,0.97083
0.082153,-0.091919,1.0242
0.10889,0.011108,1.0092
-0.03125,0.086426,0.97034
-0.14099,0.046021,0.95288
-0.06189,-0.078979,0.98071
0.098755,-0.08374,1.0337
0.094849,0.02832,1.0043
-0.05542,0.09082,0.96204
-0.14014,0.031006,0.95374
-0.043701,-0.092041,0.99133
0.11438,-0.065063,1.0297
0.080933,0.040161,1.0017
-0.078735,0.093018,0.95605
-0.13464,0.01062,0.95386
-0.021362,-0.099121,0.99451
0.12231,-0.049683,1.0411
0.064941,0.049683,0.99109
-0.098145,0.090576,0.95837
-0.13196,-0.008667,0.95532
-0.0020752,-0.10266,1.0026
0.12817,-0.037231,1.0386
0.046143,0.058228,0.99182
-0.1156,0.08313,0.9541
-0.11951,-0.020752,0.95911
0.021606,-0.10693,1.0112
0.12964,-0.022217,1.0331
0.029297,0.063354,0.98389
-0.12939,0.081543,0.95557
-0.10779,-0.039795,0.96484
0.043579,-0.10498,1.0105
0.12476,-0.01062,1.0304
0.0093994,0.07373,0.97632
-0.13342,0.069458,0.95264
-0.09021,-0.056274,0.96765
0.067749,-0.097656,1.0203
0.11816,0.0045166,1.0193
-0.014404,0.082642,0.97778
-0.14124,0.053833,0.95386
-0.076904,-0.069092,0.97278
0.087036,-0.088379,1.03
0.10596,0.019287,1.0116
-0.037231,0.085938,0.96643
-0.1405,0.043213,0.95374
-0.059814,-0.082397,0.98242
0.10376,-0.077759,1.0259
0.095459,0.029907,1.0081
-0.059204,0.089722,0.96204
-0.14233,0.027222,0.95557
-0.039673,-0.091675,0.99146
0.11475,-0.06604,1.0372
0.080078,0.036743,0.99695
-0.079956,0.096924,0.96179
-0.1355,0.0080566,0.95776
-0.018921,-0.10217,0.99707
0.12659,-0.052002,1.0385
0.0625,0.051758,0.9967
-0.098877,0.08606,0.95422
-0.12805,-0.0067139,0.95459
0.0021973,-0.10437,1.0071
0.12744,-0.032715,1.0353
0.044434,0.058838,0.99084
-0.11536,0.082764,0.95288
-0.11743,-0.025269,0.95898
0.026367,-0.10107,1.0039
0.12915,-0.019409,1.0375
0.025513,0.064575,0.98279
-0.12756,0.078003,0.95508
-0.10522,-0.041382,0.96155
0.045166,-0.10132,1.0166
0.12512,-0.0065918,1.0219
0.0042725,0.075195,0.98096
-0.13806,0.067139,0.95728
-0.092407,-0.054077,0.96704
0.068848,-0.10083,1.0221
0.11707,0.0058594,1.0187
-0.014771,0.083252,0.97266
-0.14111,0.057617,0.95532
-0.076904,-0.073242,0.98035
0.088135,-0.090698,1.0236
0.10681,0.018066,1.0129
-0.038208,0.087158,0.96826
-0.14246,0.043335,0.95386
-0.058838,-0.085938,0.98633
0.10229,-0.075562,1.037
0.093506,0.028564,1.0028
-0.058472,0.091675,0.96313
-0.13892,0.025635,0.95422
