x,y,z
0.081787,-0.078369,1.0227
0.091309,0.026123,1.0161
-0.037476,0.086792,0.97131
-0.12219,0.02478,0.94006
-0.049805,-0.070068,1
0.0979,-0.073975,1.0201
0.076416,0.036377,1.0023
-0.055786,0.080811,0.97778
-0.12939,0.015381,0.93335
-0.038574,-0.08252,1.0045
0.10535,-0.062012,1.0132
0.062256,0.049683,1.0073
-0.065552,0.080078,0.95508
-0.125,-0.00061035,0.9613
-0.012695,-0.10034,1.0062
0.10925,-0.041748,1.0266
0.057861,0.052856,0.99646
-0.081665,0.081055,0.96082
-0.13123,-0.016724,0.96033
0.0084229,-0.097534,1.0045
0.10669,-0.026001,1.0377
0.042725,0.061035,0.97534
-0.097656,0.072876,0.96655
-0.12073,-0.032104,0.95935
0.033447,-0.09729,1.0215
0.10815,-0.013306,1.0217
0.019165,0.059937,0.98914
-0.10925,0.059448,0.95007
-0.10449,-0.037598,0.97559
0.046631,-0.090332,1.0117
0.10547,0.00073242,1.0267
-0.00048828,0.07251,0.97375
-0.11377,0.041992,0.95422
-0.079468,-0.058716,0.97485
0.06665,-0.085815,1.0217
0.0979,0.012451,1.0068
-0.027954,0.089722,0.99023
-0.12268,0.031616,0.93176
-0.069702,-0.05896,0.99585
0.087891,-0.085449,1.0154
0.083862,0.032471,1.012
-0.033936,0.083618,0.97302
-0.1311,0.024292,0.94934
-0.050171,-0.088501,0.99341
0.095459,-0.067261,1.0277
0.078003,0.033325,1.0079
-0.050781,0.083984,0.95935
-0.14062,0.014526,0.96448
-0.028076,-0.093018,0.98779
0.10352,-0.050659,1.0315
0.068115,0.038818,0.99512
-0.071045,0.083496,0.9657
-0.13477,-0.0023193,0.95605
-0.010132,-0.090942,0.99915
0.11487,-0.038452,1.0359
0.041626,0.056763,0.99329
-0.086304,0.073364,0.94946
-0.12073,-0.013184,0.96777
0.015137,-0.099976,1.0066
0.11438,-0.025513,1.0367
0.027222,0.063354,0.99292
-0.11011,0.056885,0.94641
-0.11011,-0.030396,0.96289
0.031372,-0.09668,1.0187
0.11377,-0.0058594,1.0155
0.006958,0.076782,0.99329
-0.12036,0.046509,0.94568
-0.092407,-0.050415,0.97339
0.053223,-0.088379,1.0229
0.10669,0.0031738,1.0104
-0.018433,0.08728,0.99512
-0.12305,0.040527,0.93616
-0.08374,-0.054443,0.98474
0.075806,-0.086182,1.0186
0.087402,0.016602,1.01
-0.019165,0.07666,0.97485
-0.13025,0.037964,0.95422
-0.060913,-0.076538,0.98193
0.089111,-0.074951,1.03
0.081909,0.031128,1.0099
-0.038818,0.084961,0.95667
-0.14001,0.02417,0.96436
-0.044189,-0.089966,0.98535
0.10315,-0.053589,1.0333
0.069702,0.043823,1.0017
-0.062378,0.082886,0.95227
-0.12976,0.0087891,0.96484
-0.017334,-0.097778,0.9939
0.11658,-0.05127,1.0427
0.054688,0.053711,0.98901
-0.090088,0.071045,0.96204
-0.12402,-0.01123,0.95081
-0.0019531,-0.094849,1.0145
0.11487,-0.031738,1.0206
0.032349,0.065918,1.0001
-0.095459,0.060425,0.95117
-0.11047,-0.019897,0.96216
0.019165,-0.096191,1.0216
0.11133,-0.019531,1.0109
0.013916,0.072266,1.0001
-0.10803,0.062988,0.94116
-0.10413,-0.033203,0.9707
0.042358,-0.095947,1.0111
0.10022,-0.0041504,1.0276
0.0090332,0.074707,0.97705
-0.11951,0.054443,0.95654
-0.092773,-0.055786,0.97083
0.064453,-0.089966,1.0204
0.095825,0.0096436,1.0166
-0.0064697,0.078125,0.9696
-0.13477,0.043579,0.96167
-0.074707,-0.071289,0.97156
0.08667,-0.07666,1.0332
0.084595,0.026733,1.0114
-0.030029,0.081177,0.95898
-0.13794,0.030273,0.95874
-0.052856,-0.08374,0.98364
0.099487,-0.067993,1.0358
0.077026,0.034668,1.0006
-0.062012,0.081909,0.96936
-0.13049,0.012573,0.94666
-0.036743,-0.083984,1.0065
0.1073,-0.063232,1.0238
0.060791,0.049683,1.0044
-0.070312,0.072998,0.96228
-0.12964,0.00024414,0.94861
-0.020142,-0.090576,1.0131
0.1123,-0.043457,1.0149
0.041382,0.06604,1.0082
-0.080811,0.070801,0.94189
-0.11877,-0.010132,0.9679
0.013306,-0.10181,1.0071
0.10583,-0.024292,1.0275
0.040161,0.062378,0.99023
-0.10181,0.073853,0.95764
-0.11682,-0.03418,0.96338
0.030151,-0.093872,1.0123
0.10193,-0.0095215,1.0304
0.021973,0.06958,0.97375
-0.11719,0.061035,0.96509
-0.10181,-0.043823,0.9613
0.057129,-0.091919,1.021
0.0979,0,1.0193
0.0012207,0.075806,0.97498
-0.1283,0.050903,0.95679
-0.086548,-0.060791,0.97314
0.074829,-0.08374,1.0337
0.092163,0.019165,1.0042
-0.029175,0.088501,0.97681
-0.12744,0.037354,0.94507
-0.06189,-0.072021,0.99658
0.092407,-0.081909,1.0203
0.083618,0.033081,1.0121
-0.042603,0.079712,0.96912
-0.12866,0.02063,0.94092
-0.053101,-0.078369,1.007
0.10229,-0.06543,1.0189
0.066895,0.050659,1.0105
-0.05603,0.081787,0.95654
-0.13098,0.0075684,0.95581
-0.022339,-0.095215,0.9967
0.10559,-0.049561,1.0332
0.062744,0.051147,1.0018
-0.071045,0.081909,0.95776
-0.13318,-0.0031738,0.95752
0.00061035,-0.098999,1.0018
0.10242,-0.030762,1.0366
0.049927,0.053833,0.98669
-0.0979,0.081177,0.96533
-0.11963,-0.025635,0.95105
0.02417,-0.097778,1.014
0.10559,-0.019531,1.0243
0.027344,0.06665,0.98218
-0.104,0.065186,0.96118
-0.10681,-0.03772,0.96899
0.041504,-0.094849,1.0155
0.10986,-0.0028076,1.0181
0.0029297,0.077148,0.98621
-0.11243,0.044922,0.9491
-0.087402,-0.051636,0.98535
0.062744,-0.091309,1.0233
0.098022,0.0090332,1.0038
-0.015869,0.082031,0.98767
-0.12219,0.039429,0.93311
-0.075806,-0.057373,0.9967
0.086426,-0.088013,1.0173
0.088745,0.025269,1.0219
-0.025879,0.080933,0.9635
-0.13062,0.033936,0.9552
-0.057861,-0.083008,0.99329
0.090454,-0.073242,1.0299
0.081177,0.029907,1.007
-0.042725,0.086914,0.96472
-0.13879,0.014893,0.953
-0.033813,-0.088013,0.98865
0.10291,-0.057373,1.0433
0.068237,0.04187,0.99719
-0.062134,0.081055,0.96204
-0.13574,-0.00085449,0.95703
-0.01416,-0.097534,1
0.11169,-0.036987,1.0312
0.046387,0.059692,1.0011
-0.08252,0.073608,0.95508
-0.12061,-0.011597,0.96326
0.0089111,-0.099121,0.99878
0.11621,-0.03125,1.0287
0.036377,0.062134,0.99084
-0.10693,0.05957,0.95947
-0.11487,-0.025146,0.96301
0.025269,-0.094116,1.0143
0.11267,-0.015991,1.0129
0.0089111,0.074829,0.99622
-0.11841,0.051147,0.94812
-0.099121,-0.039795,0.97205
0.048828,-0.092407,1.0306
0.11096,-0.0014648,1.0045
-0.0092773,0.085938,0.99426
-0.12463,0.042969,0.93591
-0.079956,-0.056274,0.98608
0.075195,-0.086426,1.028
0.093018,0.019043,1.0123
-0.02002,0.075684,0.9707
-0.12769,0.037109,0.95032
-0.068237,-0.076294,0.98584
0.082764,-0.074097,1.0289
0.084839,0.031982,1.0098
-0.032837,0.085205,0.96069
-0.13623,0.023071,0.95972
-0.047363,-0.086182,0.98303
0.10254,-0.062134,1.041
0.070679,0.044067,1.0072
-0.056763,0.08313,0.95325
-0.13538,0.013306,0.96582
-0.022095,-0.10205,0.98901
0.11511,-0.051514,1.0421
0.056519,0.049561,0.99756
-0.079712,0.075439,0.95593
-0.11853,-0.0030518,0.95496
-0.0029297,-0.10095,1.0066
0.11475,-0.038208,1.0237
0.03772,0.06604,0.99731
-0.098999,0.06543,0.95642
-0.11792,-0.020386,0.9635
0.013062,-0.095093,1.0132
0.1145,-0.023804,1.0166
0.018311,0.072266,0.99634
-0.10742,0.055054,0.94983
-0.10291,-0.033447,0.97168
0.040527,-0.093994,1.0259
0.11133,-0.0062256,1.0023
-0.0015869,0.075806,0.99756
-0.11951,0.048096,0.93372
-0.095825,-0.045166,0.98584
0.064331,-0.089355,1.0179
0.094971,0.01123,1.027
-0.0040283,0.074951,0.96753
-0.12537,0.04895,0.96008
-0.075684,-0.072998,0.97864
0.075928,-0.082153,1.03
0.092773,0.016724,1.0129
-0.024536,0.084106,0.96814
-0.13879,0.029297,0.95251
-0.056641,-0.079834,0.97961
0.094238,-0.071289,1.0377
0.077637,0.035645,1.0087
-0.044922,0.083984,0.96069
-0.13745,0.018433,0.95935
-0.036377,-0.093506,0.98413
0.11133,-0.057373,1.0409
0.063232,0.044067,0.99988
-0.070312,0.073975,0.9635
-0.12561,-0.0021973,0.95288
-0.016968,-0.095581,1.0045
0.11243,-0.046997,1.0201
0.048462,0.05542,1.0021
-0.087158,0.067383,0.95715
-0.12415,-0.005127,0.96265
0.0026855,-0.094482,1.007
0.11682,-0.03418,1.0157
0.032471,0.068481,0.99646
-0.099854,0.059082,0.94824
-0.1095,-0.025513,0.9718
0.028198,-0.095215,1.0171
0.11194,-0.014526,1.0107
0.0084229,0.075684,0.99707
-0.11365,0.054688,0.93616
-0.10181,-0.041992,0.98413
0.054443,-0.096802,1.0194
0.10315,0.0054932,1.0242
0.00048828,0.073242,0.974
-0.12183,0.049927,0.94873
-0.086304,-0.060303,0.9845
0.07251,-0.085693,1.0215
0.095459,0.018921,1.0188
-0.015137,0.077637,0.96899
-0.12927,0.038818,0.95447
-0.070312,-0.071777,0.98096
0.08667,-0.079224,1.0297
0.083984,0.026001,1.0155
-0.033569,0.079102,0.95874
-0.1333,0.03125,0.96265
