x,y,z
-0.012085,0.093018,0.97339
-0.15771,0.052246,0.94836
-0.088623,-0.075562,0.97119
0.10254,-0.090698,1.0398
0.12329,0.026489,1.0151
-0.03772,0.095581,0.96375
-0.16187,0.036865,0.94446
-0.06604,-0.090576,0.98535
0.12048,-0.075317,1.0427
0.10498,0.04187,1.0095
-0.066284,0.094849,0.95959
-0.16431,0.022461,0.94153
-0.035034,-0.10254,0.99402
0.13196,-0.064331,1.0483
0.091431,0.052002,1.0001
-0.090454,0.096313,0.95264
-0.15771,0.00061035,0.94788
-0.010254,-0.10864,1.0006
0.13965,-0.047485,1.0482
0.065308,0.064209,0.995
-0.11499,0.087524,0.95178
-0.14771,-0.021362,0.94739
0.020874,-0.11292,1.0132
0.14331,-0.028442,1.0378
0.044922,0.07666,0.98926
-0.13062,0.07605,0.94971
-0.13281,-0.040161,0.94934
0.052368,-0.11072,1.0177
0.13928,-0.0068359,1.0378
0.018433,0.083618,0.97937
-0.1488,0.066528,0.94873
-0.11462,-0.057007,0.96643
0.073853,-0.10339,1.0302
0.13464,0.0065918,1.0245
-0.0079346,0.092041,0.97266
-0.1582,0.054565,0.95093
-0.090454,-0.07312,0.97168
0.099365,-0.094604,1.0399
0.12451,0.020142,1.0168
-0.034668,0.098022,0.96289
-0.16333,0.040405,0.94702
-0.069824,-0.089844,0.98486
0.12012,-0.082031,1.0422
0.10828,0.038696,1.0121
-0.061401,0.095459,0.96082
-0.16284,0.022095,0.94006
-0.037109,-0.10205,0.99146
0.13025,-0.061768,1.0477
0.090698,0.05188,1.0011
-0.088501,0.091309,0.95435
-0.15833,-0.00061035,0.9447
-0.010986,-0.10986,0.99744
0.13745,-0.045898,1.0502
0.068604,0.063965,0.99597
-0.11426,0.08606,0.95435
-0.14722,-0.019897,0.94666
0.015747,-0.11011,1.009
0.14331,-0.031128,1.0369
0.046875,0.076904,0.98877
-0.12927,0.082153,0.95007
-0.13586,-0.036133,0.94995
0.047241,-0.11267,1.0166
0.13928,-0.013184,1.0338
0.019043,0.084961,0.97974
-0.14575,0.071411,0.94873
-0.11694,-0.055908,0.96118
0.075073,-0.10498,1.0278
0.13477,0.0048828,1.0305
-0.0061035,0.09082,0.97559
-0.15686,0.055054,0.94775
-0.091187,-0.072388,0.96826
0.097412,-0.091675,1.0415
0.12463,0.021362,1.0153
-0.033691,0.094116,0.96301
-0.16296,0.037598,0.94763
-0.069824,-0.085205,0.98132
0.11829,-0.077271,1.0425
0.10999,0.039185,1.0096
-0.05957,0.094971,0.95935
-0.16052,0.021973,0.93994
-0.040161,-0.1012,0.99255
0.13159,-0.067017,1.0479
0.092407,0.051147,1.0011
-0.086548,0.09375,0.95459
-0.16174,0.0042725,0.94629
-0.013428,-0.11121,0.99304
0.13806,-0.050049,1.0494
0.071289,0.064697,0.99609
-0.10999,0.091675,0.95044
-0.14746,-0.015381,0.94507
0.014893,-0.11255,1.0046
0.14246,-0.032227,1.0385
0.048218,0.076538,0.98889
-0.13074,0.078003,0.95203
-0.13757,-0.034424,0.9519
0.045654,-0.10876,1.017
0.1394,-0.014282,1.0361
0.020386,0.081177,0.97839
-0.14709,0.067139,0.94714
-0.11975,-0.05249,0.96179
